Episode,R_total,R_env,R_energy,R_passing,R_in_box,R_assist,R_role,R_approach
109,52.84689350234294,1.0000001192092896,72.99689347254065,-34.299999952316284,0.0,1.0,11.850000500679016,0.30000001192092896
110,94.02531729334487,0.0,126.2503172933448,-43.5,-4.5,0.0,15.175000578165054,0.6000000238418579
111,109.80630273515574,-1.0000001192092896,149.68130276495793,-59.0,0.0,0.0,20.125001568347216,0.0
112,10.882505985857104,0.0,10.832505985857107,-1.0,0.0,0.0,0.7500000596046448,0.30000001192092896
113,7.670680056856481,0.0,8.99568005685648,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
114,185.67287175858092,0.0,242.4978717585811,-86.89999985694885,0.0,0.0,28.27500032633543,1.8000000715255737
115,7.680812368384029,0.0,9.005812368384028,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
116,113.90205976088437,-1.0000001192092896,148.4270597906867,-53.0,0.0,0.0,19.475001342594624,0.0
117,178.28967829671862,-1.0000001192092896,216.91467832652086,-71.0,0.0,0.0,33.375002425163984,0.0
118,7.695598259291003,0.0,9.020598259291003,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
119,93.05348311688118,-1.0000001192092896,198.20348314668354,-124.29999995231628,0.0,0.0,19.8500009290874,0.30000001192092896
120,42.54432391182034,0.0,63.01932391182034,-31.0,0.0,0.0,10.525000587105751,0.0
121,27.906973071703725,0.0,29.93197307170372,-4.0,0.0,0.0,1.6750001013278961,0.30000001192092896
122,61.49646957572657,0.0,89.32146957572655,-43.0,0.0,0.0,15.17500089108944,0.0
123,7.682636442316479,0.0,9.00763644231648,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
124,169.9349945816924,0.0,211.35999458169232,-69.5,0.0,0.0,27.175000593066216,0.9000000357627869
125,99.95169248761313,0.0,145.37669248761307,-61.299999952316284,0.0,0.0,15.275000393390656,0.6000000238418579
126,28.42562241175885,0.0,41.22562241175885,-21.0,0.0,0.0,8.200000643730164,0.0
127,6.089730452624152,0.0,7.414730452624151,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
128,133.87388371615546,0.0,225.32388371615548,-131.29999995231628,0.0,0.0,39.25000121816993,0.6000000238418579
129,7.713606772597411,0.0,9.03860677259741,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
130,140.3604934564113,-1.0000001192092896,166.88549348621385,-42.0,0.0,0.0,16.175000373274088,0.30000001192092896
131,56.816372364013105,0.0,101.49137236401309,-59.0,0.0,0.0,14.325000494718552,0.0
132,120.31454744523265,-1.0000001192092896,196.51454747503482,-108.30000001192093,0.0,0.0,32.80000123009086,0.30000001192092896
133,188.41130544193618,-1.0000001192092896,243.1363054717384,-84.0,0.0,0.0,29.975000984966755,0.30000001192092896
134,6.100294826042332,0.0,7.4252948260423315,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
135,94.84547806545217,0.0,172.7954780654523,-96.0,0.0,0.0,18.050000466406345,0.0
136,116.30185943982927,0.0,161.77685943982934,-75.0,0.0,0.0,29.525001138448715,0.0
137,99.2945694767672,0.0,145.34456947676736,-69.0,0.0,0.0,22.95000109821558,0.0
138,35.64129271276304,0.0,49.76629271276305,-24.0,0.0,0.0,9.875000834465027,0.0
139,137.76156921698174,0.0,191.1865692169817,-84.29999995231628,0.0,0.0,30.575000017881393,0.30000001192092896
140,8.892869676391514,0.0,10.842869676391514,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
141,42.91343207897694,1.0000001192092896,47.41343204917461,-23.0,0.0,1.0,16.500000715255737,0.0
142,133.27538984783632,-1.0000001192092896,151.62538987763867,-34.0,0.0,0.0,16.650000531226397,0.0
143,17.068615207658347,0.0,27.11861520765835,-15.0,0.0,0.0,4.95000034570694,0.0
144,14.751345957568262,0.0,20.676345957568262,-10.0,0.0,0.0,4.075000315904617,0.0
145,8.922225568054547,0.0,10.872225568054548,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
146,15.57389283778356,0.0,24.848892837783566,-14.0,0.0,0.0,4.725000351667404,0.0
147,10.137479785394332,0.0,12.712479785394331,-4.0,0.0,0.0,1.1250000894069672,0.30000001192092896
148,66.7526407197055,-1.0000001192092896,206.87764074950783,-162.29999995231628,0.0,0.0,22.875001043081284,0.30000001192092896
149,6.1094756677290425,0.0,7.434475667729044,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
150,6.105580650307993,0.0,7.430580650307993,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
151,154.91523997003068,-1.0000001192092896,230.2152399998331,-103.29999995231628,0.0,0.0,28.400001097470522,0.6000000238418579
152,27.969066647181695,0.0,29.919066647181694,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
153,79.3719693558012,0.0,107.07196935580117,-41.0,0.0,0.0,12.700000315904617,0.6000000238418579
154,162.65040194939664,0.0,226.82540194939656,-92.80000001192093,0.0,0.0,27.425000846385956,1.2000000476837158
155,48.47430346078295,0.0,65.49930346078295,-28.299999952316284,0.0,0.0,10.975000649690628,0.30000001192092896
156,95.33929091821244,0.0,137.53929091821246,-63.5,0.0,0.0,21.00000151991844,0.30000001192092896
157,8.927827144047335,0.0,10.877827144047334,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
158,127.08243425679154,-1.0000001192092896,163.2574342865939,-54.0,0.0,0.0,18.52500056102872,0.30000001192092896
159,8.100885606806504,0.0,7.425885606806503,0.0,0.0,0.0,0.3750000298023224,0.30000001192092896
160,118.97960823196495,-1.0000001192092896,150.7546082617672,-45.0,0.0,0.0,14.225000757724047,0.0
161,60.305205291932346,0.0,82.08020529193234,-33.0,0.0,0.0,11.225000411272049,0.0
162,10.78061403144623,0.0,12.730614031446231,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
163,21.103130833203494,0.0,24.10313083320349,-8.0,0.0,0.0,5.000000417232513,0.0
164,93.71078212370502,0.0,124.88578212370498,-49.0,0.0,0.0,17.82500058412552,0.0
165,98.56111615478491,-1.0000001192092896,128.5111161845873,-43.0,0.0,0.0,14.05000089481473,0.0
166,101.2379775696897,0.0,150.7129775696897,-64.0,-1.0,0.0,14.925000824034214,0.6000000238418579
167,210.51362415163234,-1.0000001192092896,288.8636241814346,-119.59999996423721,-7.5,0.0,48.250000078231096,1.5000000596046448
168,171.9113377220913,0.0,226.58633772209112,-84.5,-3.0,0.0,32.22500214725733,0.6000000238418579
169,39.018934983856376,0.0,48.668934983856374,-17.299999952316284,0.0,0.0,7.050000607967377,0.6000000238418579
170,146.15949993098153,-1.0000001192092896,285.13449996078367,-170.79999995231628,0.0,0.0,32.22500120475888,0.6000000238418579
171,146.5228343761428,0.0,228.29783437614273,-115.0,0.0,0.0,32.925001077353954,0.30000001192092896
172,14.746164513817268,0.0,16.696164513817266,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
173,93.80888136009766,0.0,114.18388136009763,-26.59999990463257,0.0,0.0,5.325000092387199,0.9000000357627869
174,8.903709269663132,0.0,10.853709269663131,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
175,22.892865643563503,0.0,34.4678656435635,-18.0,0.0,0.0,6.425000458955765,0.0
176,115.30327591978954,0.0,168.32827591978955,-73.0,0.0,0.0,19.675000336021185,0.30000001192092896
177,6.0985313781645,0.0,7.4235313781645,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
178,6.11703610119457,0.0,7.442036101194569,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
179,7.696557875159081,0.0,9.021557875159079,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
180,15.101176580252638,0.0,18.301176580252637,-5.0,0.0,0.0,1.5000001192092896,0.30000001192092896
181,83.80905622748502,0.0,118.68405622748497,-53.299999952316284,0.0,0.0,18.125000953674316,0.30000001192092896
182,21.905737686648806,0.0,30.15573768664881,-14.0,0.0,0.0,5.750000417232513,0.0
183,7.651340027316815,0.0,8.976340027316814,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
184,119.1096549310995,0.0,161.10965493109944,-63.0,0.0,0.0,21.00000114366412,0.0
185,65.46434628965115,0.0,92.11434628965112,-43.0,-3.0,0.0,18.750000804662704,0.6000000238418579
186,95.7153632142945,-1.0000001192092896,136.86536324409687,-64.0,0.0,0.0,23.85000080242753,0.0
187,59.20884785180119,0.0,93.15884785180117,-47.299999952316284,0.0,0.0,13.050000205636024,0.30000001192092896
188,85.9340151071147,0.0,149.28401510711467,-83.0,0.0,0.0,19.650000140070915,0.0
189,8.913911736790853,0.0,10.863911736790854,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
190,9.180795629828424,0.0,11.130795629828423,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
191,5.477481697394968,0.0,7.427481697394968,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
192,6.097982131196264,0.0,7.422982131196264,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
193,7.345230892427084,0.0,9.295230892427085,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
194,92.14773800830366,1.0000001192092896,103.49773797850133,-21.0,0.0,1.0,7.650000631809235,0.0
195,6.1189509640168165,0.0,7.443950964016816,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
196,115.61084250834267,-1.0000001192092896,152.81084253814498,-52.0,0.0,0.0,15.80000128224492,0.0
